,nmea,time,valid,lat,lat_direction,lon,lon_direction,speed,date,temp,Humidity
0,$GPRMC,105527.0,A,2240.7781,N,7552.9675,E,0.0,196.87,42.0,88.0
1,$GPRMC,110552.0,A,2240.7779,N,7552.9756,E,0.15,196.87,42.0,88.0
2,$GPRMC,110553.0,A,2240.7778,N,7552.9756,E,0.24,196.87,42.0,88.0
3,$GPRMC,110554.0,A,2240.7778,N,7552.9756,E,0.3,196.87,42.0,88.0
4,$GPRMC,110555.0,A,2240.7777,N,7552.9754,E,0.25,196.87,42.0,88.0
5,$GPRMC,110556.0,A,2240.7776,N,7552.9754,E,0.19,196.87,42.0,88.0
6,$GPRMC,110557.0,A,2240.7776,N,7552.9754,E,0.05,196.87,42.0,88.0
7,$GPRMC,110812.0,A,2240.7795,N,7552.9693,E,0.19,196.87,42.0,88.0
8,$GPRMC,110813.0,A,2240.7795,N,7552.9691,E,0.14,196.87,42.0,88.0
9,$GPRMC,110814.0,A,2240.7795,N,7552.969,E,0.23,196.87,42.0,88.0
10,$GPRMC,110923.0,A,2240.7786,N,7552.9748,E,0.09,196.87,42.0,88.0
11,$GPRMC,110924.0,A,2240.7786,N,7552.975,E,0.38,196.87,42.0,88.0
12,$GPRMC,111012.0,A,2240.7767,N,7552.9714,E,0.36,196.87,42.0,88.0
13,$GPRMC,111013.0,A,2240.7768,N,7552.9715,E,0.52,196.87,42.0,88.0
14,$GPRMC,111014.0,A,2240.7769,N,7552.9716,E,0.06,196.87,42.0,88.0
15,$GPRMC,111015.0,A,2240.777,N,7552.9715,E,0.03,196.87,42.0,88.0
16,$GPRMC,111016.0,A,2240.7771,N,7552.9715,E,0.27,196.87,42.0,88.0
17,$GPRMC,111017.0,A,2240.7772,N,7552.9716,E,0.2,196.87,42.0,88.0
18,$GPRMC,111018.0,A,2240.7772,N,7552.9715,E,0.21,196.87,42.0,88.0
19,$GPRMC,111019.0,A,2240.7772,N,7552.9715,E,0.25,196.87,42.0,88.0
20,$GPRMC,111020.0,A,2240.7772,N,7552.9715,E,0.09,196.87,42.0,88.0
21,$GPRMC,111021.0,A,2240.7772,N,7552.9714,E,0.11,196.87,42.0,88.0
22,$GPRMC,111022.0,A,2240.7772,N,7552.9714,E,0.11,196.87,42.0,88.0
23,$GPRMC,111023.0,A,2240.7772,N,7552.9713,E,0.08,196.87,42.0,88.0
24,$GPRMC,111024.0,A,2240.7772,N,7552.9713,E,0.04,196.87,42.0,88.0
25,$GPRMC,111025.0,A,2240.7772,N,7552.9713,E,0.32,196.87,42.0,88.0
26,$GPRMC,111026.0,A,2240.7773,N,7552.9713,E,0.09,196.87,42.0,88.0
27,$GPRMC,111027.0,A,2240.7773,N,7552.9713,E,0.34,196.87,42.0,88.0
28,$GPRMC,111028.0,A,2240.7773,N,7552.9713,E,0.11,196.87,42.0,88.0
29,$GPRMC,111029.0,A,2240.7773,N,7552.9713,E,0.07,196.87,42.0,88.0
30,$GPRMC,111030.0,A,2240.7773,N,7552.9712,E,0.03,196.87,42.0,88.0
31,$GPRMC,111800.0,A,2240.7743,N,7552.9714,E,0.14,196.87,42.0,88.0
32,$GPRMC,111801.0,A,2240.7744,N,7552.9711,E,0.16,196.87,42.0,88.0
33,$GPRMC,111802.0,A,2240.7744,N,7552.9709,E,0.03,196.87,42.0,88.0
34,$GPRMC,111803.0,A,2240.7744,N,7552.9709,E,0.16,196.87,42.0,88.0
35,$GPRMC,111924.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
36,$GPRMC,111925.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
37,$GPRMC,111926.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
38,$GPRMC,111927.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
39,$GPRMC,111928.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
40,$GPRMC,111929.0,A,2240.7792,N,7552.9678,E,0.0,196.87,42.0,88.0
41,$GPRMC,112033.0,A,2240.7789,N,7552.9669,E,0.11,196.87,42.0,88.0
42,$GPRMC,112034.0,A,2240.7789,N,7552.967,E,0.13,196.87,42.0,88.0
43,$GPRMC,112035.0,A,2240.7788,N,7552.967,E,0.05,196.87,42.0,88.0
44,$GPRMC,112036.0,A,2240.7787,N,7552.9671,E,0.08,196.87,42.0,88.0
45,$GPRMC,114712.0,A,2240.7786,N,7552.9681,E,0.5,155.19,42.0,88.0
46,$GPRMC,114713.0,A,2240.7787,N,7552.968000000003,E,0.56,155.19,42.0,88.0
47,$GPRMC,114714.0,A,2240.7789,N,7552.9678,E,0.55,155.19,42.0,88.0
48,$GPRMC,114715.0,A,2240.779,N,7552.9679,E,0.31,155.19,42.0,88.0
49,$GPRMC,114716.0,A,2240.779,N,7552.9678,E,0.14,155.19,42.0,88.0
50,$GPRMC,114717.0,A,2240.7789,N,7552.9678,E,0.32,155.19,42.0,88.0
51,$GPRMC,114718.0,A,2240.779,N,7552.9678,E,0.0,155.19,42.0,88.0
52,$GPRMC,115023.0,A,2240.7802,N,7552.9613,E,0.08,155.19,42.0,88.0
53,$GPRMC,115024.0,A,2240.7802,N,7552.9612,E,0.21,155.19,42.0,88.0
54,$GPRMC,115025.0,A,2240.7802,N,7552.9613,E,0.01,155.19,42.0,88.0
55,$GPRMC,115350.0,A,2240.7778,N,7552.9699,E,0.2,155.19,42.0,88.0
56,$GPRMC,115351.0,A,2240.7781,N,7552.9698,E,0.31,155.19,42.0,88.0
57,$GPRMC,115352.0,A,2240.7783,N,7552.9697,E,0.07,155.19,42.0,88.0
58,$GPRMC,115353.0,A,2240.7786,N,7552.9696,E,0.18,155.19,42.0,88.0
59,$GPRMC,115354.0,A,2240.7789,N,7552.9694,E,0.33,155.19,42.0,88.0
60,$GPRMC,115632.0,A,2240.7789,N,7552.9655,E,0.64,155.19,42.0,88.0
61,$GPRMC,115633.0,A,2240.7789,N,7552.9657,E,0.29,155.19,42.0,88.0
62,$GPRMC,115634.0,A,2240.7788,N,7552.9659,E,0.31,155.19,42.0,88.0
63,$GPRMC,115729.0,A,2240.7757,N,7552.9651,E,0.14,155.19,42.0,88.0
64,$GPRMC,161928.0,A,2240.7701,N,7552.9649,E,0.98,128.63,42.0,88.0
65,$GPRMC,162103.0,A,2240.776,N,7552.965,E,0.11,128.63,42.0,88.0
66,$GPRMC,162104.0,A,2240.776,N,7552.9651,E,0.13,128.63,42.0,88.0
67,$GPRMC,162105.0,A,2240.776,N,7552.9652,E,0.22,128.63,42.0,88.0
68,$GPRMC,162106.0,A,2240.7761,N,7552.9653,E,0.17,128.63,42.0,88.0
69,$GPRMC,162107.0,A,2240.7761,N,7552.9653,E,0.0,128.63,42.0,88.0
70,$GPRMC,162108.0,A,2240.7761,N,7552.9653,E,0.03,128.63,42.0,88.0
71,$GPRMC,170615.0,A,2240.7831,N,7552.9625,E,0.32,147.64,42.0,88.0
72,$GPRMC,170616.0,A,2240.7832,N,7552.9624,E,0.2,147.64,42.0,88.0
73,$GPRMC,170617.0,A,2240.7832,N,7552.9624,E,0.25,147.64,42.0,88.0
74,$GPRMC,170618.0,A,2240.7833,N,7552.9626,E,0.82,147.64,42.0,88.0
75,$GPRMC,170619.0,A,2240.7833,N,7552.9627,E,0.49,147.64,42.0,88.0
76,$GPRMC,170620.0,A,2240.7835,N,7552.9627,E,0.26,147.64,42.0,88.0
77,$GPRMC,170621.0,A,2240.7835,N,7552.9628,E,0.19,147.64,42.0,88.0
78,$GPRMC,170622.0,A,2240.7836,N,7552.9628,E,0.09,147.64,42.0,88.0
79,$GPRMC,170731.0,A,2240.7785,N,7552.9643,E,0.54,166.87,42.0,88.0
80,$GPRMC,170732.0,A,2240.7785,N,7552.9642,E,0.5,166.87,42.0,88.0
81,$GPRMC,170733.0,A,2240.7787,N,7552.9641,E,0.35,166.87,42.0,88.0
82,$GPRMC,170734.0,A,2240.779,N,7552.9639,E,0.66,166.87,42.0,88.0
83,$GPRMC,170735.0,A,2240.7791,N,7552.9637,E,0.4,166.87,42.0,88.0
84,$GPRMC,171549.0,A,2240.7797,N,7552.9631,E,0.25,293.5,42.0,88.0
85,$GPRMC,171550.0,A,2240.7796,N,7552.9631,E,0.45,293.5,42.0,88.0
86,$GPRMC,171551.0,A,2240.7795,N,7552.9631,E,0.11,293.5,42.0,88.0
87,$GPRMC,,V,,,,,,,42.0,88.0
88,$GPRMC,,V,,,,,,,42.0,88.0
89,$GPRMC,,V,,,,,,,42.0,88.0
90,$GPRMC,200309.632,V,,,,,,,42.0,88.0
91,$GPRMC,200310.632,V,,,,,,,42.0,88.0
92,$GPRMC,200311.632,V,,,,,,,42.0,88.0
93,$GPRMC,200312.632,V,,,,,,,42.0,88.0
94,$GPRMC,200313.632,V,,,,,,,42.0,88.0
95,$GPRMC,200314.632,V,,,,,,,42.0,88.0
96,$GPRMC,200315.632,V,,,,,,,42.0,88.0
97,$GPRMC,200316.632,V,,,,,,,42.0,88.0
98,$GPRMC,220204.0,A,2240.7746,N,7552.9672,E,0.0,167.58,42.0,88.0
99,$GPRMC,220205.0,A,2240.7746,N,7552.9672,E,0.0,167.58,42.0,88.0
100,$GPRMC,220206.0,A,2240.7746,N,7552.9672,E,0.0,167.58,42.0,88.0
101,$GPRMC,220207.0,A,2240.7746,N,7552.9672,E,0.0,167.58,42.0,88.0
102,$GPRMC,220208.0,A,2240.7746,N,7552.9672,E,0.0,167.58,42.0,88.0
103,$GPRMC,44048.055,A,2240.759,N,7552.9935,E,5.58,162.3,42.0,88.0
104,$GPRMC,44049.055,A,2240.7542,N,7552.9909,E,3.88,345.23,42.0,88.0
105,$GPRMC,44051.055,A,2240.7704,N,7552.9819,E,5.5,337.29,42.0,88.0
106,$GPRMC,44052.055,A,2240.7773,N,7552.9673,E,2.81,32.98,42.0,88.0
107,$GPRMC,44053.055,A,2240.7712,N,7552.9743,E,7.35,151.88,42.0,88.0
108,$GPRMC,44412.055,A,2240.8031,N,7552.9765,E,4.86,140.85,42.0,88.0
109,$GPRMC,44413.055,A,2240.7994,N,7552.9821,E,9.33,154.97,42.0,88.0
110,$GPRMC,44414.055,A,2240.8042,N,7552.9764,E,13.01,160.31,42.0,88.0
111,$GPRMC,44639.055,A,2240.817,N,7552.9316,E,0.0,148.76,42.0,88.0
112,$GPRMC,44640.055,A,2240.825,N,7552.9287,E,0.0,148.76,42.0,88.0
113,$GPRMC,215745.0,A,2240.7828,N,7552.9629,E,0.35,183.22,42.0,88.0
115,$GPRMC,215746.000,A,2240.7829,N,07552.9629,E,0.00,183.22,42,88
